time_sec,ECG_I,ECG_I_filtered
0.0,-0.215,0.02
0.002,-0.15,0.015
0.004,-0.16,0.005
0.006,-0.195,0.0
0.008,-0.28,-0.01
0.01,-0.335,-0.015
0.012,-0.34,-0.02
0.014,-0.325,-0.02
0.016,-0.275,-0.02
0.018,-0.17,-0.02
0.02,-0.18,-0.015
0.022,-0.17,-0.01
0.024,-0.165,-0.01
0.026,-0.18,-0.01
0.028,-0.32,-0.01
0.03,-0.385,-0.01
0.032,-0.32,-0.01
0.034,-0.28,-0.01
0.036,-0.235,-0.01
0.038,-0.16,-0.005
0.04,-0.145,-0.005
0.042,-0.17,0.0
0.044,-0.19,0.005
0.046,-0.27,0.01
0.048,-0.325,0.01
0.05,-0.305,0.01
0.052,-0.29,0.01
0.054,-0.265,0.01
0.056,-0.245,0.01
0.058,-0.205,0.01
0.06,-0.165,0.005
0.062,-0.17,0.005
0.064,-0.2,0.0
0.066,-0.24,0.0
0.068,-0.24,-0.005
0.07,-0.325,-0.01
0.072,-0.315,-0.015
0.074,-0.315,-0.015
0.076,-0.245,-0.015
0.078,-0.17,-0.01
0.08,-0.21,-0.005
0.082,-0.18,0.0
0.084,-0.165,0.0
0.086,-0.23,0.005
0.088,-0.235,0.005
0.09,-0.295,0.0
0.092,-0.38,-0.01
0.094,-0.325,-0.02
0.096,-0.285,-0.025
0.098,-0.215,-0.03
0.1,-0.2,-0.035
0.102,-0.225,-0.03
0.104,-0.2,-0.025
0.106,-0.24,-0.02
0.108,-0.28,-0.015
0.11,-0.32,-0.01
0.112,-0.33,-0.01
0.114,-0.305,-0.01
0.116,-0.26,-0.015
0.118,-0.205,-0.02
0.12,-0.175,-0.025
0.122,-0.17,-0.025
0.124,-0.25,-0.025
0.126,-0.27,-0.025
0.128,-0.29,-0.02
0.13,-0.325,-0.01
0.132,-0.285,0.0
0.134,-0.28,0.005
0.136,-0.26,0.01
0.138,-0.205,0.01
0.14,-0.16,0.01
0.142,-0.095,0.005
0.144,-0.19,0.005
0.146,-0.22,0.005
0.148,-0.295,0.005
0.15,-0.295,0.01
0.152,-0.255,0.015
0.154,-0.3,0.02
0.156,-0.235,0.025
0.158,-0.185,0.03
0.16,-0.12,0.035
0.162,-0.095,0.04
0.164,-0.14,0.04
0.166,-0.2,0.04
0.168,-0.28,0.04
0.17,-0.285,0.04
0.172,-0.295,0.035
0.174,-0.255,0.025
0.176,-0.225,0.01
0.178,-0.22,-0.005
0.18,-0.195,-0.02
0.182,-0.24,-0.035
0.184,-0.27,-0.045
0.186,-0.305,-0.05
0.188,-0.34,-0.05
0.19,-0.3,-0.045
0.192,-0.315,-0.035
0.194,-0.335,-0.025
0.196,-0.24,-0.015
0.198,-0.21,-0.01
0.2,-0.185,-0.005
0.202,-0.21,-0.005
0.204,-0.19,-0.005
0.206,-0.27,-0.01
0.208,-0.35,-0.02
0.21,-0.315,-0.025
0.212,-0.31,-0.03
0.214,-0.32,-0.035
0.216,-0.275,-0.035
0.218,-0.215,-0.04
0.22,-0.245,-0.04
0.222,-0.205,-0.04
0.224,-0.23,-0.04
0.226,-0.275,-0.04
0.228,-0.265,-0.035
0.23,-0.37,-0.03
0.232,-0.37,-0.03
0.234,-0.33,-0.025
0.236,-0.175,-0.02
0.238,-0.21,-0.02
0.24,-0.175,-0.02
0.242,-0.185,-0.02
0.244,-0.225,-0.025
0.246,-0.355,-0.035
0.248,-0.38,-0.04
0.25,-0.38,-0.05
0.252,-0.36,-0.06
0.254,-0.33,-0.075
0.256,-0.265,-0.085
0.258,-0.28,-0.095
0.26,-0.29,-0.1
0.262,-0.3,-0.095
0.264,-0.335,-0.085
0.266,-0.34,-0.055
0.268,-0.33,-0.01
0.27,-0.255,0.055
0.272,-0.15,0.125
0.274,0.02,0.205
0.276,0.095,0.275
0.278,0.225,0.335
0.28,0.255,0.375
0.282,0.265,0.385
0.284,0.135,0.365
0.286,0.01,0.32
0.288,-0.125,0.25
0.29,-0.25,0.165
0.292,-0.195,0.075
0.294,-0.245,-0.015
0.296,-0.225,-0.095
0.298,-0.37,-0.155
0.3,-0.435,-0.2
0.302,-0.47,-0.23
0.304,-0.5,-0.245
0.306,-0.495,-0.25
0.308,-0.535,-0.245
0.31,-0.55,-0.235
0.312,-0.525,-0.22
0.314,-0.505,-0.2
0.316,-0.425,-0.18
0.318,-0.31,-0.16
0.32,-0.215,-0.14
0.322,-0.29,-0.115
0.324,-0.35,-0.1
0.326,-0.385,-0.08
0.328,-0.37,-0.07
