time_sec,ECG_I,ECG_I_filtered
0.0,0.06,-0.095
0.002,0.115,-0.075
0.004,0.12,-0.06
0.006,0.14,-0.045
0.008,0.17,-0.025
0.01,0.15,-0.015
0.012,0.125,-0.005
0.014,0.14,0.0
0.016,0.12,0.005
0.018,0.115,0.0
0.02,0.13,-0.005
0.022,0.155,-0.01
0.024,0.115,-0.02
0.026,0.165,-0.025
0.028,0.165,-0.03
0.03,0.125,-0.03
0.032,0.12,-0.03
0.034,0.1,-0.025
0.036,0.095,-0.02
0.038,0.135,-0.02
0.04,0.145,-0.015
0.042,0.135,-0.015
0.044,0.155,-0.01
0.046,0.165,-0.01
0.048,0.145,-0.01
0.05,0.15,-0.01
0.052,0.16,-0.01
0.054,0.12,-0.01
0.056,0.105,-0.01
0.058,0.1,-0.015
0.06,0.16,-0.015
0.062,0.185,-0.02
0.064,0.155,-0.025
0.066,0.09,-0.03
0.068,0.11,-0.03
0.07,0.16,-0.03
0.072,0.15,-0.03
0.074,0.12,-0.03
0.076,0.07,-0.03
0.078,0.06,-0.03
0.08,0.125,-0.03
0.082,0.095,-0.03
0.084,0.115,-0.035
0.086,0.14,-0.03
0.088,0.185,-0.03
0.09,0.14,-0.025
0.092,0.12,-0.015
0.094,0.15,-0.005
0.096,0.15,0.0
0.098,0.15,0.005
0.1,0.15,0.01
0.102,0.15,0.005
0.104,0.095,-0.005
0.106,0.13,-0.015
0.108,0.205,-0.025
0.11,0.17,-0.03
0.112,0.125,-0.035
0.114,0.095,-0.035
0.116,0.1,-0.025
0.118,0.1,-0.02
0.12,0.125,-0.015
0.122,0.25,-0.01
0.124,0.22,-0.015
0.126,0.105,-0.02
0.128,0.08,-0.035
0.13,0.105,-0.05
0.132,0.065,-0.065
0.134,0.075,-0.075
0.136,0.085,-0.075
0.138,0.1,-0.075
0.14,0.095,-0.065
0.142,0.055,-0.05
0.144,0.14,-0.04
0.146,0.17,-0.025
0.148,0.165,-0.015
0.15,0.125,-0.01
0.152,0.115,-0.01
0.154,0.12,-0.015
0.156,0.12,-0.015
0.158,0.17,-0.02
0.16,0.145,-0.015
0.162,0.175,-0.015
0.164,0.175,-0.005
0.166,0.145,0.0
0.168,0.11,0.005
0.17,0.16,0.005
0.172,0.155,0.005
0.174,0.145,-0.005
0.176,0.13,-0.015
0.178,0.1,-0.03
0.18,0.08,-0.045
0.182,0.1,-0.055
0.184,0.135,-0.065
0.186,0.165,-0.06
0.188,0.115,-0.055
0.19,0.14,-0.045
0.192,0.155,-0.03
0.194,0.15,-0.015
0.196,0.135,-0.005
0.198,0.1,0.0
0.2,0.14,0.0
0.202,0.155,-0.005
0.204,0.155,-0.015
0.206,0.135,-0.03
0.208,0.105,-0.045
0.21,0.1,-0.06
0.212,0.1,-0.07
0.214,0.06,-0.08
0.216,0.075,-0.08
0.218,0.085,-0.08
0.22,0.105,-0.075
0.222,0.15,-0.065
0.224,0.175,-0.05
0.226,0.14,-0.04
0.228,0.15,-0.025
0.23,0.125,-0.02
0.232,0.105,-0.015
0.234,0.13,-0.015
0.236,0.135,-0.02
0.238,0.11,-0.025
0.24,0.11,-0.03
0.242,0.14,-0.035
0.244,0.165,-0.035
0.246,0.175,-0.03
0.248,0.165,-0.025
0.25,0.145,-0.015
0.252,0.14,-0.005
0.254,0.145,0.0
0.256,0.14,0.0
0.258,0.175,-0.005
0.26,0.16,-0.01
0.262,0.14,-0.025
0.264,0.11,-0.035
0.266,0.09,-0.05
0.268,0.09,-0.06
0.27,0.08,-0.07
0.272,0.055,-0.07
0.274,0.11,-0.075
0.276,0.135,-0.07
0.278,0.105,-0.07
0.28,0.11,-0.07
0.282,0.115,-0.065
0.284,0.11,-0.065
0.286,0.1,-0.065
0.288,0.1,-0.065
0.29,0.12,-0.06
0.292,0.09,-0.055
0.294,0.125,-0.05
0.296,0.145,-0.04
0.298,0.165,-0.035
0.3,0.175,-0.025
0.302,0.17,-0.02
0.304,0.125,-0.02
0.306,0.135,-0.02
0.308,0.13,-0.02
0.31,0.135,-0.025
0.312,0.145,-0.03
0.314,0.125,-0.035
0.316,0.1,-0.035
0.318,0.12,-0.035
0.32,0.16,-0.04
0.322,0.16,-0.04
0.324,0.16,-0.04
0.326,0.1,-0.04
0.328,0.09,-0.04
0.33,0.11,-0.045
0.332,0.175,-0.045
0.334,0.17,-0.045
0.336,0.105,-0.04
0.338,0.07,-0.035
0.34,0.095,-0.03
0.342,0.15,-0.02
0.344,0.16,-0.015
0.346,0.18,-0.01
0.348,0.165,-0.01
0.35,0.15,-0.01
0.352,0.215,-0.02
0.354,0.145,-0.03
0.356,0.04,-0.045
0.358,0.065,-0.06
0.36,0.095,-0.07
0.362,0.075,-0.075
0.364,0.08,-0.075
0.366,0.11,-0.07
0.368,0.165,-0.06
0.37,0.185,-0.05
0.372,0.15,-0.035
0.374,0.135,-0.03
0.376,0.09,-0.025
0.378,0.105,-0.025
0.38,0.135,-0.03
0.382,0.11,-0.04
0.384,0.12,-0.045
0.386,0.16,-0.045
0.388,0.155,-0.045
0.39,0.11,-0.04
0.392,0.105,-0.03
0.394,0.165,-0.015
0.396,0.155,-0.005
0.398,0.15,0.005
0.4,0.135,0.01
0.402,0.145,0.01
0.404,0.235,0.01
0.406,0.225,0.01
0.408,0.18,0.005
0.41,0.135,0.01
0.412,0.165,0.01
0.414,0.19,0.015
0.416,0.165,0.02
0.418,0.14,0.02
0.42,0.24,0.02
